type,sample,value,offset,duration,subject
93,184766,"MSG	10727431 93",,,28
53,186284,"MSG	10728949 53",,,28
200,186823,"MSG	10729488 200",,,28
10,187850,"MSG	10730515 10",,,28
TRIAL_RESULT,188886,"MSG	10731551 TRIAL_RESULT 0",,,28
TRIALID,188886,"MSG	10731551 TRIALID 39",,,28
91,189784,"MSG	10732449 91",,,28
51,191300,"MSG	10733965 51",,,28
210,192093,"MSG	10734758 210",,,28
10,193116,"MSG	10735781 10",,,28
TRIAL_RESULT,193900,"MSG	10736565 TRIAL_RESULT 0",,,28
TRIALID,193900,"MSG	10736565 TRIALID 40",,,28
91,194600,"MSG	10737265 91",,,28
52,196116,"MSG	10738781 52",,,28
200,196687,"MSG	10739352 200",,,28
20,197567,"MSG	10740232 20",,,28
TRIAL_RESULT,198721,"MSG	10741386 TRIAL_RESULT 0",,,28
TRIALID,198722,"MSG	10741387 TRIALID 41",,,28
92,199267,"MSG	10741932 92",,,28
53,200784,"MSG	10743449 53",,,28
210,201374,"MSG	10744039 210",,,28
110,202451,"MSG	10745116 110",,,28
TRIAL_RESULT,203398,"MSG	10746063 TRIAL_RESULT 0",,,28
TRIALID,203399,"MSG	10746064 TRIALID 42",,,28
91,204417,"MSG	10747082 91",,,28
52,205933,"MSG	10748598 52",,,28
210,206527,"MSG	10749192 210",,,28
20,207551,"MSG	10750216 20",,,28
TRIAL_RESULT,208536,"MSG	10751201 TRIAL_RESULT 0",,,28
TRIALID,208537,"MSG	10751202 TRIALID 43",,,28
91,209067,"MSG	10751732 91",,,28
53,210584,"MSG	10753249 53",,,28
210,211120,"MSG	10753785 210",,,28
20,212183,"MSG	10754848 20",,,28
TRIAL_RESULT,213194,"MSG	10755859 TRIAL_RESULT 0",,,28
TRIALID,213196,"MSG	10755861 TRIALID 44",,,28
92,213901,"MSG	10756566 92",,,28
52,215417,"MSG	10758082 52",,,28
210,215894,"MSG	10758559 210",,,28
110,216934,"MSG	10759599 110",,,28
TRIAL_RESULT,218031,"MSG	10760696 TRIAL_RESULT 0",,,28
TRIALID,218032,"MSG	10760697 TRIALID 45",,,28
94,218984,"MSG	10761649 94",,,28
52,220500,"MSG	10763165 52",,,28
210,221070,"MSG	10763735 210",,,28
110,222134,"MSG	10764799 110",,,28
TRIAL_RESULT,223109,"MSG	10765774 TRIAL_RESULT 0",,,28
TRIALID,223110,"MSG	10765775 TRIALID 46",,,28
92,223650,"MSG	10766315 92",,,28
53,225167,"MSG	10767832 53",,,28
210,225759,"MSG	10768424 210",,,28
10,226785,"MSG	10769450 10",,,28
TRIAL_RESULT,227779,"MSG	10770444 TRIAL_RESULT 0",,,28
TRIALID,227780,"MSG	10770445 TRIALID 47",,,28
94,228534,"MSG	10771199 94",,,28
52,230065,"MSG	10772730 52",,,28
210,230602,"MSG	10773267 210",,,28
110,231584,"MSG	10774249 110",,,28
TRIAL_RESULT,232676,"MSG	10775341 TRIAL_RESULT 0",,,28
TRIALID,232677,"MSG	10775342 TRIALID 48",,,28
93,233534,"MSG	10776199 93",,,28
52,235052,"MSG	10777717 52",,,28
210,235595,"MSG	10778260 210",,,28
20,236617,"MSG	10779282 20",,,28
TRIAL_RESULT,237662,"MSG	10780327 TRIAL_RESULT 0",,,28
TRIALID,237663,"MSG	10780328 TRIALID 49",,,28
94,238317,"MSG	10780982 94",,,28
51,239834,"MSG	10782499 51",,,28
200,240675,"MSG	10783340 200",,,28
10,241701,"MSG	10784366 10",,,28
TRIAL_RESULT,242468,"MSG	10785133 TRIAL_RESULT 0",,,28
TRIALID,242469,"MSG	10785134 TRIALID 50",,,28
94,243134,"MSG	10785799 94",,,28
51,244652,"MSG	10787317 51",,,28
