subid,vers,block,trial,rewlvl,efflvl,congruency,targetresp,distractorresp,rollingefflvl,resp,rt,acc,fast,accrt,isrewarded,ismiss,runavgrrgen,runavgrrcond,zrt,acczrt,rtthreshold,isdisterror,isranderror,congruence,feedback,fcz_resp_theta,fcz_resp_theta_baseline
14,104,2,171,-0.5,-0.5,0.5,1,4,0.8,1,882,1,0,882,1,0,0.8,0.4,1.46779629113771,1.46779629113771,750,0,0,incongruent,0.1,2519.7181049665,1274.61040664265
14,104,2,172,-0.5,0.5,0,3,NaN,0.8,3,714,1,1,714,1,0,0.8,0.8,0.115922413023985,0.115922413023985,750,0,0,neutral,0.1,2207.20459741475,1578.14758584624
14,104,2,173,-0.5,0.5,0.5,2,4,0.8,2,663,1,1,663,1,0,1,1,-0.294467871403396,-0.294467871403396,750,0,0,incongruent,0.1,792.199883796254,1119.53457817773
14,104,2,174,-0.5,0.5,-0.5,3,3,0.8,3,642,1,1,642,1,0,1.2,1,-0.463452106167611,-0.463452106167611,750,1,0,congruent,0.1,299.670922865646,743.1785851209
14,104,2,175,-0.5,0.5,0.5,1,2,1,1,763,1,0,763,0,0,1,1,0.510218960807155,0.510218960807155,750,0,0,incongruent,0,1574.72001506383,850.924760998793
14,104,2,176,-0.5,-0.5,0.5,3,1,0.8,3,617,1,1,617,0,0,0.8,0.6,-0.664623814220249,-0.664623814220249,750,0,0,incongruent,0,5265.17108942462,6982.65958318705
14,104,2,177,-0.5,0.5,-0.5,4,4,0.8,4,679,1,1,679,1,0,0.6,0.8,-0.165717978249708,-0.165717978249708,750,1,0,congruent,0.1,4349.00757252249,935.058236682946
14,104,2,178,0.5,0.5,0.5,1,2,0.8,1,961,1,0,961,0,0,0.6,NaN,2.10349888858404,2.10349888858404,750,0,0,incongruent,0,1945.06783745538,2625.0513219939
14,104,2,180,0.5,-0.5,0.5,4,2,0.4,4,818,1,0,818,0,0,0.2,NaN,0.952796718522957,0.952796718522957,750,0,0,incongruent,0,1570.83100907843,485.213549698721
14,104,2,181,-0.5,0.5,-0.5,1,1,0.4,1,700,1,1,700,1,0,0.2,0.8,0.00326625651450791,0.00326625651450791,750,1,0,congruent,0.1,2609.77592149483,1580.96107262943
14,104,2,182,-0.5,-0.5,0,4,NaN,0.4,4,636,1,1,636,0,0,0.4,0.6,-0.511733316100244,-0.511733316100244,750,0,0,neutral,0,4433.90711359749,875.418035855298
14,104,2,184,-0.5,-0.5,0.5,1,2,0.6,1,477,1,1,477,1,0,0.4,0.6,-1.79118537931502,-1.79118537931502,750,0,0,incongruent,0.1,2902.13350082309,1265.68906918244
14,104,2,185,0.5,0.5,0,2,NaN,0.6,2,670,1,1,670,1,0,0.6,NaN,-0.238139793148657,-0.238139793148657,750,0,0,neutral,1,1533.77748939313,2194.06419873556
14,104,2,186,0.5,-0.5,-0.5,1,1,0.6,1,623,1,1,623,1,0,1,NaN,-0.616342604287616,-0.616342604287616,750,1,0,congruent,1,400.409957293091,2358.30963354616
14,104,2,187,0.5,0.5,0.5,2,3,0.6,2,753,1,0,753,0,0,1.2,NaN,0.4297502775861,0.4297502775861,750,0,0,incongruent,0,2723.86240832504,2220.83976797402
14,104,2,188,0.5,0.5,0,4,NaN,0.6,4,783,1,0,783,0,0,1.2,NaN,0.671156327249265,0.671156327249265,750,0,0,neutral,0,1830.50080232715,2999.28164557339
14,104,2,189,0.5,0.5,0.5,2,4,0.6,2,771,1,0,771,0,0,1,NaN,0.574593907383999,0.574593907383999,750,0,0,incongruent,0,5036.6846488794,1039.58270697937
14,104,2,190,0.5,0.5,0.5,4,2,0.4,4,803,1,0,803,0,0,0.8,NaN,0.832093693691375,0.832093693691375,750,0,0,incongruent,0,1311.27286002556,1327.74801362159
14,104,2,191,0.5,-0.5,0,1,NaN,0.2,1,817,1,0,817,1,0,0.4,NaN,0.944749850200852,0.944749850200852,750,0,0,neutral,1,2213.56050608454,5142.35673592378
14,104,2,192,-0.5,-0.5,-0.5,4,4,0.2,4,863,1,0,863,0,0,0.4,0.6,1.31490579301771,1.31490579301771,750,1,0,congruent,0,1843.07536358854,1489.16833019714
14,104,2,194,0.5,0.5,-0.5,3,3,0,3,596,1,1,596,1,0,0.4,NaN,-0.833608048984465,-0.833608048984465,750,1,0,congruent,1,1130.0231056333,1071.12929391392
14,104,2,195,0.5,-0.5,0,1,NaN,0.2,1,655,1,1,655,0,0,0.8,NaN,-0.35884281798024,-0.35884281798024,750,0,0,neutral,0,3486.25763554368,2765.32562566694
14,104,2,196,-0.5,0.5,-0.5,3,3,0.2,3,495,1,1,495,1,0,0.8,0.6,-1.64634174951712,-1.64634174951712,750,1,0,congruent,0.1,2925.24215445458,1164.3448764578
14,104,2,197,-0.5,-0.5,0,1,NaN,0.4,1,613,1,1,613,0,0,0.6,0.4,-0.696811287508671,-0.696811287508671,750,0,0,neutral,0,1423.43553739472,1472.00038280287
14,104,2,198,0.5,0.5,-0.5,2,2,0.4,2,626,1,1,626,1,0,0.6,NaN,-0.592201999321299,-0.592201999321299,750,1,0,congruent,1,3031.63015550882,1361.20577780482
